Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1953,NaN,NaN,-0.47,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1954,NaN,NaN,-0.09,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1955,NaN,NaN,1.21,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1956,NaN,NaN,-0.55,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1957,NaN,NaN,0.09,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1958,NaN,NaN,-0.49,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1959,NaN,NaN,-0.81,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1960,NaN,NaN,-0.73,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1961,NaN,NaN,-0.15,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1962,NaN,NaN,-0.6,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1963,NaN,NaN,0.26,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1964,NaN,NaN,1.13,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1965,NaN,NaN,0.17,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1966,NaN,NaN,-0.4,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1967,NaN,NaN,-0.51,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1968,NaN,NaN,-0.13,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1969,NaN,NaN,0.3,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1970,NaN,NaN,-0,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1971,NaN,NaN,-0.31,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1972,NaN,NaN,-0.56,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1973,NaN,NaN,-0.43,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1974,NaN,NaN,-0.28,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1975,NaN,NaN,0.38,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1976,NaN,NaN,-0.16,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1977,NaN,NaN,-0.39,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1978,NaN,NaN,-0.71,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1979,NaN,NaN,-0.54,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1980,NaN,NaN,-0.18,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1981,NaN,NaN,-0.72,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1982,NaN,NaN,-0.34,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
1983,NaN,NaN,-1.53,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,0.09
